origin_lat,origin_lon,dest_lat,dest_lon,depart_ts,duration_seconds
19.095338814074296,72.84962076672207,19.122062356541146,72.84579889433866,2025-09-03 22:54:00,617
19.060406425383256,72.85260807291758,19.11425327102916,72.8287821323147,2025-09-03 17:05:00,1209
19.058264440359114,72.86917302616843,19.11746766313508,72.90618496860932,2025-09-02 12:11:00,1440
19.07921053770078,72.88696663815753,19.03948983025293,72.91331666307426,2025-09-07 22:32:00,1038
19.04614973614866,72.9044706288349,19.03271312502973,72.84717247602431,2025-09-07 15:29:00,837
19.048954021452253,72.90055033060119,19.117156699530035,72.88060802827754,2025-09-02 07:49:00,996
19.055438659551214,72.85579890918171,19.04439864371947,72.87689873684283,2025-09-06 15:08:00,376
19.11195452660081,72.87537962178791,19.029449674419944,72.91225102929366,2025-09-03 14:13:00,1877
19.113192617555008,72.84230629096102,19.056927517395454,72.91313792801708,2025-09-05 12:38:00,1249
19.094350713916413,72.88520564507061,19.071785335155933,72.92375694964355,2025-09-07 06:22:00,818
19.076706170666288,72.8868716370919,19.094680219081027,72.9066963100033,2025-09-08 20:04:00,330
19.109548701415097,72.86970113173231,19.124501278002857,72.84813147337977,2025-09-07 20:38:00,350
19.0367870193867,72.90649559011871,19.07852182559921,72.90970818298354,2025-09-03 18:28:00,818
19.10084437293985,72.88198889439064,19.065337875075357,72.8523700780687,2025-09-06 19:12:00,744
19.106904219597908,72.833368886766,19.026724868050223,72.90439651325842,2025-09-07 14:35:00,2139
19.062875934450286,72.92593542401669,19.06853018883299,72.86287545193119,2025-09-02 11:59:00,1279
19.116457617456195,72.90277187107957,19.08406595645109,72.91894067988365,2025-09-06 16:51:00,816
19.037408928096244,72.92689421470013,19.084249794456515,72.8309983975468,2025-09-06 20:15:00,1380
19.031123242682845,72.83733467516124,19.071952934008166,72.92396510609007,2025-09-08 15:30:00,1298
19.04939657242311,72.83393894373269,19.124394528997335,72.9040265956517,2025-09-03 21:25:00,1715
19.092262399565385,72.85814188363412,19.120232089099446,72.85769155017304,2025-09-04 18:39:00,456
19.07584139783264,72.9189360047408,19.108961913100106,72.84543716921078,2025-09-04 12:22:00,1009
19.04564170450337,72.89931389198064,19.032328053252453,72.91477281403392,2025-09-06 16:18:00,383
19.056722424639464,72.875123597157,19.062737585978535,72.89744326925273,2025-09-05 17:47:00,480
19.12497657548895,72.84883045688657,19.038662986796613,72.86198200095069,2025-09-06 16:11:00,1513
19.1099922787926,72.92359760864048,19.026270127811397,72.91673479066073,2025-09-05 13:43:00,1218
19.072231030286154,72.85004611313693,19.031142850429426,72.89309288329524,2025-09-03 18:35:00,1207
19.02839068890456,72.85765840308171,19.03450422919626,72.90593405540065,2025-09-02 06:05:00,555
19.10782855355358,72.86772489720776,19.11882154058655,72.8635795637835,2025-09-08 08:08:00,137
19.041626314446695,72.83979902721626,19.08524525066094,72.91580264561182,2025-09-05 11:00:00,1150
19.111988896516234,72.88290332131092,19.026320869007176,72.85273258840655,2025-09-03 16:52:00,1273
19.0323112626155,72.90055598597677,19.065107469152295,72.84021787177139,2025-09-04 14:18:00,1307
19.11577044573075,72.83369328006651,19.068640366599134,72.85274639198852,2025-09-05 10:39:00,895
19.101764796238207,72.83193511005058,19.03405233257083,72.86519157838259,2025-09-04 18:12:00,1579
19.034526127635328,72.86735833500516,19.109736521129147,72.85472934020838,2025-09-03 11:23:00,1339
19.113175440600198,72.87568236439618,19.09359245380877,72.87132037722297,2025-09-07 15:23:00,284
19.034763813191965,72.8957226981903,19.084226930156937,72.87112093275404,2025-09-05 09:02:00,1129
19.0578654750957,72.86111656055499,19.118670949576906,72.84431736432144,2025-09-03 19:01:00,1331
19.103284025738873,72.90782537925891,19.0834727471999,72.85955860987843,2025-09-07 14:23:00,904
19.060117930230348,72.89616328370069,19.1057285205742,72.89591222347079,2025-09-02 13:42:00,768
19.06219636574584,72.91878050305839,19.112445530224353,72.89755361570472,2025-09-07 18:40:00,1197
19.06933306899701,72.90260355400194,19.05376300912157,72.90445038449194,2025-09-08 13:57:00,326
19.117567790249904,72.90325892487205,19.056797470623103,72.84778209063391,2025-09-05 16:27:00,1185
19.06938770001997,72.86675389034978,19.113951378231103,72.85220919538796,2025-09-07 09:49:00,924
19.04174305389351,72.88689353403974,19.055628562069302,72.90499362164614,2025-09-03 07:23:00,234
19.086328740348097,72.86376636695314,19.047227259150617,72.91417691173956,2025-09-07 17:19:00,975
19.08394384275891,72.86721333638508,19.10026138973521,72.85857581850385,2025-09-05 10:45:00,328
19.038121132586042,72.86441998061105,19.09788184135128,72.91398253359974,2025-09-04 22:43:00,1557
19.05081240662324,72.86628051008293,19.074612621046874,72.86303503505098,2025-09-06 10:23:00,378
19.071780265073546,72.86890895934368,19.105917013247492,72.83773588531355,2025-09-05 13:46:00,689
19.07739110756607,72.84927964791996,19.0296948003533,72.86254836666458,2025-09-05 22:27:00,1088
19.09299554584913,72.85568168474943,19.037508477821362,72.92281754332593,2025-09-07 16:14:00,1139
19.09469072091899,72.8557310297245,19.118202428483503,72.87463288383658,2025-09-04 17:53:00,353
19.039523336971723,72.84160367063944,19.083296698372564,72.91820215094307,2025-09-04 19:53:00,1348
19.056281164973537,72.85175442574288,19.117657524466633,72.86244030800303,2025-09-06 08:26:00,1009
